matiere;classe/grpe;moy_eleve;devoir1___note;devoir2___note;devoir3___note;devoir4___note;devoir5___note;devoir6___note;devoir7___note;devoir8___note;devoir9___note;devoir10___note;devoir11___note;devoir12___note;devoir13___note;devoir14___note;devoir15___note;devoir16___note;devoir17___note;devoir18___note;devoir19___note;devoir20___note;devoir21___note;devoir22___note;devoir23___note;devoir24___note;devoir1___coeff;devoir2___coeff;devoir3___coeff;devoir4___coeff;devoir5___coeff;devoir6___coeff;devoir7___coeff;devoir8___coeff;devoir9___coeff;devoir10___coeff;devoir11___coeff;devoir12___coeff;devoir13___coeff;devoir14___coeff;devoir15___coeff;devoir16___coeff;devoir17___coeff;devoir18___coeff;devoir19___coeff;devoir20___coeff;devoir21___coeff;devoir22___coeff;devoir23___coeff;devoir24___coeff;devoir1___date;devoir2___date;devoir3___date;devoir4___date;devoir5___date;devoir6___date;devoir7___date;devoir8___date;devoir9___date;devoir10___date;devoir11___date;devoir12___date;devoir13___date;devoir14___date;devoir15___date;devoir16___date;devoir17___date;devoir18___date;devoir19___date;devoir20___date;devoir21___date;devoir22___date;devoir23___date;devoir24___date;devoir1___periode_notation;devoir2___periode_notation;devoir3___periode_notation;devoir4___periode_notation;devoir5___periode_notation;devoir6___periode_notation;devoir7___periode_notation;devoir8___periode_notation;devoir9___periode_notation;devoir10___periode_notation;devoir11___periode_notation;devoir12___periode_notation;devoir13___periode_notation;devoir14___periode_notation;devoir15___periode_notation;devoir16___periode_notation;devoir17___periode_notation;devoir18___periode_notation;devoir19___periode_notation;devoir20___periode_notation;devoir21___periode_notation;devoir22___periode_notation;devoir23___periode_notation;devoir24___periode_notation;eleve_id;prof_id
ANGLAIS LVB;1A;;;;;;;;;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;4z3S0asPCajLU5mtsF-FEH3134hoSvdC56epCyBqqVk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;10,07;3,50;9,00;8,00;13,00;13,00;9,00;11,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;17,91;10,00;19,00;18,00;19,00;19,00;14,00;19,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;NtxDQ77rDLKF4f-niWAKs5dyTcA6wtOwsSMo1pg1dPY;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;18,09;9,00;15,00;19,00;20,00;19,00;18,00;19,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;13,23;3,50;16,50;13,00;3,00;13,00;16,00;11,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;5,00;2,50;;;;;;;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;E0lT2maisVx8GUK4mXjN8HD8H33cvDRW8YGPAo03lRg;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;17,37;7,50;15,50;19,00;16,00;18,00;18,00;17,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;uepqpa_JsfrYacOUpJ7HPdKTMk3VUmS8sPFJqVUAkBA;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;10,26;4,50;15,00;8,00;4,00;11,00;5,00;14,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;PLfNCUqOUlxw1H1az_cjgV2yoW5Ago62H4WGRzGrx6A;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;12,21;7,00;14,00;15,00;19,50;14,00;7,00;9,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;7jewNDq3sKFX49MMpfHa7SUVf2DWtQbuTSK6_o9kz_c;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;19,70;9,00;20,00;20,00;18,50;20,00;19,00;20,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;w3qw7LNY6qnKGFH7BP9Nk4igCL82OZvws08UVvEcybk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;13,52;Abs;12,50;14,50;8,00;15,00;12,00;15,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;gIMlSLngj1_RyZWWxPfNzUzR3Ks9EDTMU0QJNtoalEk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;15,74;8,00;16,00;12,00;18,50;17,00;16,00;17,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;9W7PDf6tNgiXgJ2GUmtLbhqL_RXtyHo3LCrd_OfQvPk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;;;;;;;;;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;qytKdqpM1m1lc1PzdbT3tGMwwDtu8mlxoC0vm0HcsTk;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;16,21;6,50;18,00;18,00;18,00;14,00;13,00;18,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;2Dstl4nD5FvsxwtVwcRss2ARYjelctyUuQRWLgC8PeM;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;17,98;10,00;18,00;17,00;16,50;19,00;18,00;18,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;nbNO1s36O83B54-tALZW65QNZiOMWN-YU2tzeImkO6A;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;12,28;6,00;15,00;10,00;6,00;17,00;11,00;10,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;18,05;Abs;19,00;18,00;19,00;18,00;18,00;17,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;osRq9D-3-bIyPNSAIcfyge_bCzM2oz9UtCCe64mB1ds;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;19,00;Abs;20,00;20,00;15,00;19,00;18,00;19,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;f-JAnUKpEjoZvBT7uCnWHaOm3KTDTF7CyGAUJZYiqfI;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;12,19;2,00;12,00;12,00;12,00;17,00;10,00;11,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;eABFkYXbLomfyZZz07CeDtvdPoDXF3LiJa0j1wLQ_H0;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;19,05;10,00;20,00;19,00;19,50;17,00;19,00;20,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;GDDietQJISvCsR3bK7Hz_EofL5x2lA2XMV9zVe9YYqg;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;17,98;7,50;17,00;18,00;19,00;19,00;18,00;18,00;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;BLa3p_eiISSBdv6nJfXWXWoD72Q7YiK1uYJwjlJz9Jc;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
ANGLAIS LVB;1A;14,70;Abs;16,00;13,00;Abs;16,00;16,00;12,50;;;;;;;;;;;;;;;;;;0,50;2,00;2,00;0,50;2,00;2,00;2,00;;;;;;;;;;;;;;;;;;29/01/2024;18/02/2024;11/03/2024;15/04/2024;15/05/2024;19/05/2024;19/05/2024;;;;;;;;;;;;;;;;;;Trimestre 2;Trimestre 2;Trimestre 2;Trimestre 3;Trimestre 3;Trimestre 3;Trimestre 3;;;;;;;;;;;;;;;;;;IV4vrB2AXHzvZuzNG-VBemYYgbeSn6Atfn3JHWm7urg;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU
Éducation physique et sportive;1A;17,67;17,00;19,00;17,00;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;;;;;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;18,17;18,00;19,00;17,50;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;13,33;16,00;10,00;14,00;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;18,00;18,00;18,00;18,00;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;17,83;17,00;18,50;18,00;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
Éducation physique et sportive;1A;18,00;18,00;18,00;18,00;;;;;;;;;;;;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;;;;;;;;;;;;;23/11/2023;15/03/2024;17/05/2024;;;;;;;;;;;;;;;;;;;;;;Trimestre 1;Trimestre 2;Trimestre 3;;;;;;;;;;;;;;;;;;;;;;M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8
