eleve_id;matiere;prof_id;note;coef;date;trimestre
w3qw7LNY6qnKGFH7BP9Nk4igCL82OZvws08UVvEcybk;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;9,00;0,50;2024-01-29;Trimestre 2
gIMlSLngj1_RyZWWxPfNzUzR3Ks9EDTMU0QJNtoalEk;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;Abs;0,50;2024-01-29;Trimestre 2
9W7PDf6tNgiXgJ2GUmtLbhqL_RXtyHo3LCrd_OfQvPk;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;8,00;0,50;2024-01-29;Trimestre 2
2Dstl4nD5FvsxwtVwcRss2ARYjelctyUuQRWLgC8PeM;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;6,50;0,50;2024-01-29;Trimestre 2
nbNO1s36O83B54-tALZW65QNZiOMWN-YU2tzeImkO6A;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;10,00;0,50;2024-01-29;Trimestre 2
ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;6,00;0,50;2024-01-29;Trimestre 2
osRq9D-3-bIyPNSAIcfyge_bCzM2oz9UtCCe64mB1ds;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;Abs;0,50;2024-01-29;Trimestre 2
f-JAnUKpEjoZvBT7uCnWHaOm3KTDTF7CyGAUJZYiqfI;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;Abs;0,50;2024-01-29;Trimestre 2
eABFkYXbLomfyZZz07CeDtvdPoDXF3LiJa0j1wLQ_H0;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;2,00;0,50;2024-01-29;Trimestre 2
GDDietQJISvCsR3bK7Hz_EofL5x2lA2XMV9zVe9YYqg;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;10,00;0,50;2024-01-29;Trimestre 2
BLa3p_eiISSBdv6nJfXWXWoD72Q7YiK1uYJwjlJz9Jc;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;7,50;0,50;2024-01-29;Trimestre 2
IV4vrB2AXHzvZuzNG-VBemYYgbeSn6Atfn3JHWm7urg;ANGLAIS LVB;9SKAZVd_e50ujms6tkEJP9e_afvdckaaz3GN09KWnlU;Abs;0,50;2024-01-29;Trimestre 2
x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;17,00;1,00;2023-11-23;Trimestre 1
Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;17,00;1,00;2023-11-23;Trimestre 1
M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;17,00;1,00;2023-11-23;Trimestre 1
iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
NtxDQ77rDLKF4f-niWAKs5dyTcA6wtOwsSMo1pg1dPY;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
E0lT2maisVx8GUK4mXjN8HD8H33cvDRW8YGPAo03lRg;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
uepqpa_JsfrYacOUpJ7HPdKTMk3VUmS8sPFJqVUAkBA;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
PLfNCUqOUlxw1H1az_cjgV2yoW5Ago62H4WGRzGrx6A;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
7jewNDq3sKFX49MMpfHa7SUVf2DWtQbuTSK6_o9kz_c;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
w3qw7LNY6qnKGFH7BP9Nk4igCL82OZvws08UVvEcybk;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;15,00;1,00;2023-11-23;Trimestre 1
gIMlSLngj1_RyZWWxPfNzUzR3Ks9EDTMU0QJNtoalEk;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;17,00;1,00;2023-11-23;Trimestre 1
9W7PDf6tNgiXgJ2GUmtLbhqL_RXtyHo3LCrd_OfQvPk;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
qytKdqpM1m1lc1PzdbT3tGMwwDtu8mlxoC0vm0HcsTk;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;17,00;1,00;2023-11-23;Trimestre 1
2Dstl4nD5FvsxwtVwcRss2ARYjelctyUuQRWLgC8PeM;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;19,00;1,00;2023-11-23;Trimestre 1
nbNO1s36O83B54-tALZW65QNZiOMWN-YU2tzeImkO6A;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;19,00;1,00;2023-11-23;Trimestre 1
ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
osRq9D-3-bIyPNSAIcfyge_bCzM2oz9UtCCe64mB1ds;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
f-JAnUKpEjoZvBT7uCnWHaOm3KTDTF7CyGAUJZYiqfI;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
eABFkYXbLomfyZZz07CeDtvdPoDXF3LiJa0j1wLQ_H0;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
GDDietQJISvCsR3bK7Hz_EofL5x2lA2XMV9zVe9YYqg;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
BLa3p_eiISSBdv6nJfXWXWoD72Q7YiK1uYJwjlJz9Jc;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;18,00;1,00;2023-11-23;Trimestre 1
IV4vrB2AXHzvZuzNG-VBemYYgbeSn6Atfn3JHWm7urg;Éducation physique et sportive;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;16,00;1,00;2023-11-23;Trimestre 1
x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;7,00;0,50;2023-09-25;Trimestre 1
Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;16,00;0,50;2023-09-25;Trimestre 1
g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;16,00;0,50;2023-09-25;Trimestre 1
0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
4z3S0asPCajLU5mtsF-FEH3134hoSvdC56epCyBqqVk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
NtxDQ77rDLKF4f-niWAKs5dyTcA6wtOwsSMo1pg1dPY;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
E0lT2maisVx8GUK4mXjN8HD8H33cvDRW8YGPAo03lRg;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
uepqpa_JsfrYacOUpJ7HPdKTMk3VUmS8sPFJqVUAkBA;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
PLfNCUqOUlxw1H1az_cjgV2yoW5Ago62H4WGRzGrx6A;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
7jewNDq3sKFX49MMpfHa7SUVf2DWtQbuTSK6_o9kz_c;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;15,00;0,50;2023-09-25;Trimestre 1
w3qw7LNY6qnKGFH7BP9Nk4igCL82OZvws08UVvEcybk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;15,00;0,50;2023-09-25;Trimestre 1
gIMlSLngj1_RyZWWxPfNzUzR3Ks9EDTMU0QJNtoalEk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;15,00;0,50;2023-09-25;Trimestre 1
9W7PDf6tNgiXgJ2GUmtLbhqL_RXtyHo3LCrd_OfQvPk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
qytKdqpM1m1lc1PzdbT3tGMwwDtu8mlxoC0vm0HcsTk;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
2Dstl4nD5FvsxwtVwcRss2ARYjelctyUuQRWLgC8PeM;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;15,00;0,50;2023-09-25;Trimestre 1
nbNO1s36O83B54-tALZW65QNZiOMWN-YU2tzeImkO6A;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;13,00;0,50;2023-09-25;Trimestre 1
osRq9D-3-bIyPNSAIcfyge_bCzM2oz9UtCCe64mB1ds;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
f-JAnUKpEjoZvBT7uCnWHaOm3KTDTF7CyGAUJZYiqfI;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;17,00;0,50;2023-09-25;Trimestre 1
eABFkYXbLomfyZZz07CeDtvdPoDXF3LiJa0j1wLQ_H0;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;7,00;0,50;2023-09-25;Trimestre 1
GDDietQJISvCsR3bK7Hz_EofL5x2lA2XMV9zVe9YYqg;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;17,00;0,50;2023-09-25;Trimestre 1
IV4vrB2AXHzvZuzNG-VBemYYgbeSn6Atfn3JHWm7urg;ENSEIGNEMENT SCIENTIFIQUE (PC);zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;14,00;0,50;2023-09-25;Trimestre 1
Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;8,00;1,00;2023-10-10;Trimestre 1
DyJf1T4yDLgrUi52e67pJRZ2osLJ06bgQGRyybEHGAw;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
iZ7mcjzo2OmLsnUjV581ksgku0_jJR2peEFuZcuTmNI;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
0M7YVYNgcnP1fXyEH27kTbI8xI3J_5Y_VDWwdsv78ws;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;7,00;1,00;2023-10-10;Trimestre 1
-apglKHWvlC1l3Iar9i0OLDsJegtfjEoln1nkM9GlQw;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
wV3IqFJNTAlEDlFBhSn7F3oB2EQT95imwa8q2iaBCWE;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;7,00;1,00;2023-10-10;Trimestre 1
E0lT2maisVx8GUK4mXjN8HD8H33cvDRW8YGPAo03lRg;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
uepqpa_JsfrYacOUpJ7HPdKTMk3VUmS8sPFJqVUAkBA;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
PLfNCUqOUlxw1H1az_cjgV2yoW5Ago62H4WGRzGrx6A;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
7jewNDq3sKFX49MMpfHa7SUVf2DWtQbuTSK6_o9kz_c;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
w3qw7LNY6qnKGFH7BP9Nk4igCL82OZvws08UVvEcybk;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
gIMlSLngj1_RyZWWxPfNzUzR3Ks9EDTMU0QJNtoalEk;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
9W7PDf6tNgiXgJ2GUmtLbhqL_RXtyHo3LCrd_OfQvPk;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
qytKdqpM1m1lc1PzdbT3tGMwwDtu8mlxoC0vm0HcsTk;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;9,00;1,00;2023-10-10;Trimestre 1
2Dstl4nD5FvsxwtVwcRss2ARYjelctyUuQRWLgC8PeM;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
nbNO1s36O83B54-tALZW65QNZiOMWN-YU2tzeImkO6A;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
ZzZvoyMYwrVbciTPVkzMLv0vxPOEcR5cgsfowxSs3WQ;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
osRq9D-3-bIyPNSAIcfyge_bCzM2oz9UtCCe64mB1ds;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
f-JAnUKpEjoZvBT7uCnWHaOm3KTDTF7CyGAUJZYiqfI;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
eABFkYXbLomfyZZz07CeDtvdPoDXF3LiJa0j1wLQ_H0;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
GDDietQJISvCsR3bK7Hz_EofL5x2lA2XMV9zVe9YYqg;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
BLa3p_eiISSBdv6nJfXWXWoD72Q7YiK1uYJwjlJz9Jc;ESPAGNOL;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;10,00;1,00;2023-10-10;Trimestre 1
