classes;punition;date;motif;heure;eleve_id
4A;Mot dans le carnet;2024-02-16;manque de concentration, Manque de concentration. Bavardages incessants. Défaut de carnet, manque de motivation et de travail;;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;Mot dans le carnet;2024-05-17;Bavardages incessants, refus de faire son travail . Manque de concentration;;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;Mot dans le carnet;2024-05-20;nan;;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
3B;Mot dans le carnet;2024-06-05;Bavardages incessants ;;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
5C;Mot dans le carnet;2024-03-14;Agitation en classe, bavardages incessants;;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;Devoir supplémentaire;2024-03-25;Bavardage incessant et manque de respect dans la classe, Comportement inacceptable en classe, Excès de bavardage, perturbations fréquentes  et un manque du respect au règlement de la classe, ce qui nous fait perdre énormément du temps pendant la séance .;;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;Retenue;2024-03-28;Utilisation de télèphone;;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5A;Mot dans le carnet;2023-11-24;Attitude en classe;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;Retenue;2023-12-04;nan;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;Mot dans le carnet;2024-01-16;dégradation du matériel;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;Retenue;2024-02-13;Agitation, Agitation en classe;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;Retenue;2024-04-19;Violence physique;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;Retenue;2024-06-07;Insultes répétées envers des camarades et comportement inadapté en cours;;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
6A;Mot dans le carnet;2023-09-11;Agitation en classe;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2023-10-03;Agitation en classe, bavardage incessant;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2023-10-13;Bavardages et manque de concentration.;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2023-11-16;nan;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2023-11-21;Attitude inadmissible en cours, Attitude inadmissible en cours: Entrée non autorisée dans la salle de matériel sportif et utilisation du trampoline sans permission;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2023-11-27;attitude inacceptable, bavardage incessant;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2023-12-04;attitude inacceptable, Bavardages incessants.Manque de concentration. Défaut de carnet;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Exclusion de cours;2023-12-08;Retard injustifié;12:50:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Devoir supplémentaire;2023-12-15;Retard injustifié;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2024-01-29;nan;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2024-02-12;Attitude en classe;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Exclusion de cours;2024-02-13;a insulté son camarade de classe, Comportement inacceptable en classe;16:00:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2024-02-13;a insulté son camarade de classe;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Devoir supplémentaire;2024-03-14;Agitation;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Exclusion de cours;2024-03-25;Retard injustifié;13:50:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2024-04-01;nan;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Retenue;2024-04-01;Agitation en classe;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2024-04-15;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Devoir supplémentaire;2024-05-13;Agitation;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Mot dans le carnet;2024-05-20;Agitation en classe;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;Devoir supplémentaire;2024-05-20;absence de matériel;;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
3B;Mot dans le carnet;2023-11-20;Attitude en classe;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2023-12-05;bavardage;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-01-25;bavardages incessants;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Exclusion de cours;2024-01-25;attitude inacceptable;16:00:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-02-06;bavardage;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-02-08;Devoirs non faits;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-02-15;travail non fait;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Exclusion de cours;2024-04-09;nan;09:00:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-04-15;Utilisation de telephone;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-04-15;travail non fait;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-04-19;Utilisation de telephone;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-04-19;bavardages incessants, Manque du respect envers un adulte, travail non fait;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-04-23;Manque de respect envers le professeur;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-04-23;Manque de respect envers le professeur;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Exclusion de cours;2024-04-24;bavardage et manque de concentration;09:00:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-05-13;Bavardages et manque de concentration.;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Retenue;2024-05-13;Devoirs non faits;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-05-16;Joue dans la classe and n'a pas fait sa tache;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Mot dans le carnet;2024-06-05;bavardages incessants;;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Exclusion de cours;2024-06-06;Bavardages incessants ;15:00:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
2B;Mot dans le carnet;2024-02-19;retard;;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
3A;Retenue;2024-04-19;Utilisation de télèphone;;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
4B;Retenue;2024-05-17;à manque de de respect, à manque de respect à l'animteur et il a utilisé son télèphone au foyer;;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;Mot dans le carnet;2024-05-23;Attitude inadmissible en cours, bavardage incessant;;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;Mot dans le carnet;2024-05-28;Bavardages incessants ;;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;Mot dans le carnet;2024-05-31;bavardage incessant;;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;Mot dans le carnet;2024-06-05;Bavardages et manque de concentration.;;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4A;Mot dans le carnet;2023-09-19;Attitude en classe;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Mot dans le carnet;2023-09-22;Bavardages incessants ;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Retenue;2023-09-25;Agitation en classe, bavardage incessant;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Mot dans le carnet;2024-01-09;nan;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Retenue;2024-01-22;A agressé son camarade de classe en lui jetant une trousse au visage ;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Retenue;2024-02-09;bruit et cri en entrant en permanence;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Mot dans le carnet;2024-02-16;Attitude en classe;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Exclusion de cours;2024-03-21;Bavardages et manque de concentration.;11:10:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Mot dans le carnet;2024-03-22;comportement en classe;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;Mot dans le carnet;2024-05-27;imitation de voix;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;Mot dans le carnet;2024-05-31;comportement en classe;;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
6A;Mot dans le carnet;2023-09-11;Agitation en classe;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2023-09-14;Bavardages incessants ;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2023-10-18;Agitation en classe;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2023-11-10;Bavardages et manque de concentration.;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Exclusion de cours;2023-12-07;Retard injustifié;15:00:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2023-12-08;nan;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Retenue;2024-01-18;Attitude inadmissible en cours;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-01-19;nan;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-02-02;nan;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Exclusion de cours;2024-02-09;nan;12:50:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-02-15;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-03-15;nan;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-03-25;prendre de la parole sans permission malgré les plusieurs avertissement de prof et cela pertube le deroulement de cours.;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-01;Bavardages incessants ;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-05;prendre de la parole sans permission malgré les plusieurs avertissement de prof et cela pertube le deroulement de cours.;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-05;nan;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-18;Bavardages incessants. Un grand manque de concentra;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Mot dans le carnet;2024-04-19;Devoirs non faits;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Retenue;2024-04-19;A agressé son camarade de classe en lui jetant une trousse au visage , Manque de respect envers le professeur;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;Retenue;2024-04-22;Devoirs non faits;;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6C;Mot dans le carnet;2024-01-16;Attitude en classe;;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;Retenue;2024-01-18;ils se sont bagarrées dans la cour;;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;Mot dans le carnet;2024-01-30;comportement inadmissible en permamnence;;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;Retenue;2024-04-08;Violence physique;;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6B;Obligation de présenter des excuses à l'écrit;2023-11-14;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Mot dans le carnet;2023-12-05;Attitude en classe;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Exclusion de cours;2024-02-21;nan;09:00:00;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Retenue;2024-03-20;plus de 4 retards sans excuses;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Retenue;2024-03-22;Comportement  envers une assistante d'éducation;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Mot dans le carnet;2024-03-29;oublie constant de matériel;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Mot dans le carnet;2024-05-22;nan;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;Mot dans le carnet;2024-05-28;Attitude inadmissible au collège;;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
4A;Mot dans le carnet;2023-10-06;bavardage;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;Mot dans le carnet;2023-10-11;Attitude en classe;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;Mot dans le carnet;2023-10-20;non respect du réglement intérieur, prendre de la parole sans permission malgré les plusieurs avertissement de prof et cela pertube le deroulement de cours.;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;Mot dans le carnet;2023-11-09;bavardage et manque de concentration;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;Mot dans le carnet;2023-12-04;Agitation en classe;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;Retenue;2023-12-04;Agitation en classe;;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
3B;Retenue;2023-09-15;geste deplacé;;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
3B;Mot dans le carnet;2023-11-27;Attitude en classe;;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
3B;Mot dans le carnet;2024-03-19;Comportement inacceptable en classe;;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
2B;Mot dans le carnet;2023-12-12;Insulte en plein cours son camarade;;vW_M2cj2HsKw75JdCYmu1dTpDXoFcfwug4d4zcOUVSw
6A;Mot dans le carnet;2023-09-25;Agitation en classe, bavardage incessant;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Retenue;2023-09-26;Agitation en classe, bavardage incessant, manque de respect;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2023-11-10;Bavardages et manque de concentration.;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-02-02;atittude inadmissible,cumul d'insultes envers ses camarades de classe;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-03-29;nan;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-04-01;bavardage incessant;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-04-01;bavardage incessant;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6A;Mot dans le carnet;2024-05-27;Bavardages incessants ;;14KToI0tyl8jO9tTPSB_Nl4BnLEW_8rkNX7g0JbhtXA
6B;Retenue;2024-03-20;plus de 4 retards sans excuses;;pnOYSPGqDnfTkQybynIme0aPiD7XUtwfGe8_Cr3RsiQ
6B;Mot dans le carnet;2024-04-15;nan;;pnOYSPGqDnfTkQybynIme0aPiD7XUtwfGe8_Cr3RsiQ
6B;Mot dans le carnet;2024-04-16;Attitude en classe;;pnOYSPGqDnfTkQybynIme0aPiD7XUtwfGe8_Cr3RsiQ
5B;Mot dans le carnet;2023-09-27;Bavardages et manque de concentration.;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2023-10-13;Bavardages et manque de concentration.;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2023-10-13;bavardage;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2023-11-24;bavardage incessant;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2023-12-08;Jet d' objet en classe;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2023-12-18;bavardage et manque de concentration;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
5B;Mot dans le carnet;2024-02-22;Bavardages et moqueries;;2Tm1cjBumw-ZdqAM4a59ijnW-1oGsIaTZGsZWfJW-DI
1B/C;Retenue;2023-09-26;Utilisation du téléphone portable dans la cour;;lNEJ5a05KaUVUoLSYuMlQPkOfjII_JkqOjvBm4EPRr8
1B/C;Exclusion de cours;2023-10-03;nan;15:00:00;lNEJ5a05KaUVUoLSYuMlQPkOfjII_JkqOjvBm4EPRr8
1B/C;Retenue;2023-10-04;BAVARDAGES, portable non éteint, Tache non effectuee, utilisation du portable;;lNEJ5a05KaUVUoLSYuMlQPkOfjII_JkqOjvBm4EPRr8
5B;Mot dans le carnet;2023-12-01;bavardage incessant;;Uy6e4GUVxQgWxrJjiUA73GVuFtpzq7j1qtv0e8-gxXs
5A;Mot dans le carnet;2023-09-19;Bavardages incessants ;;EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0
5A;Mot dans le carnet;2023-09-26;Attitude en classe;;EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0
5A;Mot dans le carnet;2023-10-16;Bavardages et manque de concentration.;;EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0
5A;Mot dans le carnet;2024-02-05;Utilisation de télèphone au foyer;;EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0
5A;Retenue;2024-02-20;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0
Terminale;Exclusion de cours;2023-12-05;nan;08:00:00;cgNR-1My2greON5hP6rjr3twfqcuGwyHAPntVI1wVWk
Terminale;Exclusion de cours;2024-04-03;absence de matériel;12:50:00;cgNR-1My2greON5hP6rjr3twfqcuGwyHAPntVI1wVWk
Terminale;Exclusion de cours;2024-04-05;telephone;10:10:00;cgNR-1My2greON5hP6rjr3twfqcuGwyHAPntVI1wVWk
