classes;motif;regle;date;heure;duree;eleve_id
4A;SANS EXCUSES;O;2024-03-29;10:10:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;SANS EXCUSES;O;2024-05-30;13:50:00;00:05:00;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
3B;SANS EXCUSES;O;2023-10-16;15:00:00;00:05:00;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;SANS EXCUSES;O;2023-11-29;10:10:00;00:05:00;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;PROBLEME DE TRANSPORT;O;2023-12-08;08:00:00;00:05:00;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;SANS EXCUSES;O;2024-02-19;15:00:00;00:05:00;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;PROBLEME DE TRANSPORT;O;2024-05-13;08:00:00;00:05:00;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
5C;SANS EXCUSES;O;2023-09-07;11:10:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2023-09-07;13:50:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2023-10-03;15:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2023-10-06;12:50:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2023-10-11;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2023-10-11;10:10:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2023-11-20;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2023-11-21;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2023-12-14;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2024-02-09;12:50:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2024-03-25;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;PROBLEME DE TRANSPORT;O;2024-03-27;08:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2024-03-28;11:10:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2024-03-28;16:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2024-04-18;15:00:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;SANS EXCUSES;O;2024-06-03;11:10:00;00:05:00;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
1A;SANS EXCUSES;O;2023-09-07;10:10:00;00:05:00;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c
5A;SANS EXCUSES;O;2024-03-22;15:00:00;00:05:00;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;SANS EXCUSES;O;2024-03-28;12:50:00;00:05:00;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
6A;SANS EXCUSES;O;2023-09-08;12:50:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;PROBLEME DE TRANSPORT;O;2023-09-15;08:00:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2023-10-20;12:50:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2023-11-14;16:00:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2023-11-16;15:00:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2023-12-12;15:00:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2024-02-02;10:10:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2024-03-29;13:50:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;SANS EXCUSES;O;2024-04-22;13:50:00;00:05:00;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
3B;SANS EXCUSES;O;2023-11-20;15:00:00;00:05:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;SANS EXCUSES;O;2024-02-19;15:00:00;00:05:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;SANS EXCUSES;O;2024-04-19;16:00:00;00:05:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;Motif non encore connu;N;2024-06-10;11:10:00;00:50:00;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
5A;SANS EXCUSES;O;2023-10-12;10:10:00;00:05:00;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
5A;SANS EXCUSES;O;2023-11-28;10:10:00;00:05:00;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
5A;SANS EXCUSES;O;2024-03-28;12:50:00;00:05:00;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
5A;PROBLEME DE TRANSPORT;O;2024-05-21;08:00:00;00:05:00;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
2B;SANS EXCUSES;O;2023-09-18;15:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2023-09-19;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2023-10-17;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2023-11-22;10:10:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2023-11-23;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2023-11-27;15:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2023-11-28;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2023-12-07;08:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2023-12-21;15:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-01-26;10:10:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-01-30;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2024-01-31;08:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-02-05;13:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-02-08;15:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2024-02-09;08:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-02-14;11:10:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-02-19;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-03-12;10:10:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;PROBLEME DE TRANSPORT;O;2024-03-13;08:00:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-03-18;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-04-01;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;SANS EXCUSES;O;2024-04-23;12:50:00;00:05:00;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
5C;SANS EXCUSES;O;2023-10-11;10:10:00;00:05:00;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
5C;SANS EXCUSES;O;2024-01-31;10:10:00;00:05:00;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
5C;SANS EXCUSES;O;2024-06-03;11:10:00;00:05:00;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
6C;PROBLEME DE TRANSPORT;O;2023-11-09;08:00:00;00:05:00;geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog
6C;PROBLEME DE TRANSPORT;O;2024-01-17;08:00:00;00:05:00;geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog
1B/C;Motif non encore connu;N;2023-12-08;15:00:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;PROBLEME DE TRANSPORT;O;2023-12-15;08:00:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;PROBLEME DE TRANSPORT;O;2024-02-08;08:00:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;SANS EXCUSES;O;2024-03-21;10:10:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;SANS EXCUSES;O;2024-03-28;12:50:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;Motif non encore connu;N;2024-04-04;13:50:00;00:20:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;PROBLEME DE TRANSPORT;O;2024-04-05;08:00:00;00:05:00;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
6B;PROBLEME DE TRANSPORT;O;2024-01-19;08:00:00;00:05:00;vHiKJedL8UWFCxEoClr0ZZmAs_UYz1-IXecIBRQoTFg
3A;PROBLEME DE TRANSPORT;O;2024-01-31;08:00:00;00:05:00;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
3A;SANS EXCUSES;O;2024-02-20;10:10:00;00:05:00;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
4B;PROBLEME DE TRANSPORT;O;2024-04-23;08:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;PROBLEME DE TRANSPORT;O;2024-04-25;08:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;PROBLEME DE TRANSPORT;O;2024-05-16;08:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;PROBLEME DE TRANSPORT;O;2024-05-23;08:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;SANS EXCUSES;O;2024-05-28;10:10:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;PROBLEME DE TRANSPORT;O;2024-06-03;09:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4B;PROBLEME DE TRANSPORT;O;2024-06-04;08:00:00;00:05:00;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4A;SANS EXCUSES;O;2023-09-14;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-10-02;12:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-10-16;12:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-11-14;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-11-21;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-11-27;13:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-11-28;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-12-04;16:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2023-12-12;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-01-09;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-01-16;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-01-22;13:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-01-23;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-01-29;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-02-06;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-02-19;12:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-02-22;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-02-23;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;SANS EXCUSES;O;2024-03-26;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Motif non encore connu;N;2024-03-29;10:10:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;Motif non encore connu;N;2024-03-29;11:10:00;00:08:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;SANS EXCUSES;O;2024-04-04;09:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;SANS EXCUSES;O;2024-04-15;12:50:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;SANS EXCUSES;O;2024-04-15;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;PROBLEME DE TRANSPORT;O;2024-04-22;08:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;SANS EXCUSES;O;2024-05-16;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;SANS EXCUSES;O;2024-05-27;15:00:00;00:05:00;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
1A;Motif non encore connu;N;2024-05-15;15:00:00;00:05:00;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk
1A;PROBLEME DE TRANSPORT;O;2023-12-21;08:00:00;00:05:00;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;PROBLEME DE TRANSPORT;O;2024-01-09;08:00:00;00:05:00;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;PROBLEME DE TRANSPORT;O;2024-01-18;08:00:00;00:05:00;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;PROBLEME DE TRANSPORT;O;2024-01-25;09:00:00;00:05:00;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;Motif non encore connu;N;2024-03-27;10:10:00;00:20:00;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
6A;PROBLEME DE TRANSPORT;O;2023-09-08;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2023-10-17;15:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2023-10-20;12:50:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2023-11-21;15:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2023-11-23;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2023-12-07;15:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2024-01-19;15:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2024-02-01;15:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2024-02-02;10:10:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2024-02-23;12:50:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2024-03-18;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2024-03-26;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2024-04-01;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;SANS EXCUSES;O;2024-04-02;11:10:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2024-05-27;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;PROBLEME DE TRANSPORT;O;2024-06-10;08:00:00;00:05:00;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6C;SANS EXCUSES;O;2023-09-12;15:00:00;00:05:00;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;PROBLEME DE TRANSPORT;O;2023-12-07;08:00:00;00:05:00;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6B;PROBLEME DE TRANSPORT;O;2023-12-20;08:00:00;00:05:00;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;SANS EXCUSES;O;2024-02-01;11:10:00;00:05:00;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
