eleve_id;date_naiss;classes;sexe
k_RR2fAZfe7wwOhnZc_F2UqDvgw60Um9QNYgoE_efOM;2015-06-10;nan;F
rZ5t5JFui3cySDCeQKCieHP7chwn2XjFxDTpzWECh8M;2008-10-30;nan;F
1dKBiIS_IE1jWjphvgwpiwSfyt3hLSxGYIbn_xS1sS4;2013-01-21;nan;F
xKhhMC-YLHuiAmcOgHYCvRdP-3sB6NcrEESmcOCTjIk;2006-12-25;Terminale;M
7WcyshLbAMC1hAs2lhYjaj0HJeegDFKHkMfcT9PBNHA;2014-01-31;nan;F
ZxRA3tQFXR2JmSuXCiQMEvk7uXEPTGKLHHiXttEEL7c;2015-05-07;nan;M
va164Xf69YB3EVoGYmn9ZH7nwQ7YO72G_k0HdHRAOZ8;2016-03-21;nan;M
Jwf0xQUvQW-fARLOlH_jmCR1RcpfL1kBaDdPxM0nF1o;2014-05-12;nan;M
Uy6e4GUVxQgWxrJjiUA73GVuFtpzq7j1qtv0e8-gxXs;2011-08-18;5B;M
EQ-frbuXUubU0pa_LkVPT8CLIaPTJQMRnbBoIOyeUI0;2011-02-16;5A;M
uGsXQRaoRIGR1l98issI_ga-kyi2O74i3FNKYZCRexQ;2007-02-15;1B/C;M
cgNR-1My2greON5hP6rjr3twfqcuGwyHAPntVI1wVWk;2006-03-01;Terminale;M
NhVdB1aqNnGMlkG2_R0da8ckxxHOwY4szx4A9c-g4TQ;2010-10-12;4A;F
H9RKCOKPBJtb0rfMUHT9wa-a6nV6fYuApDS0uANqPf0;2016-08-19;nan;F
qu4lOoPqwQNcUbPfZEq-xvItFca1v1IRfZ1WGCM0Kwo;2012-06-15;nan;M
H_euoKbCaEqXVKQ3jtX7_Z9LaA4YN_Tj7-FHjOpAZqY;2007-03-23;1A;F
5P9P3X6iN4hcbsDt3sEDVHPDB55AF8FWSLUJXi2ObDM;2016-01-04;nan;M
2keK1kYJilcgb72YqeQNU4Xk3jAIzOpqThOyEhB-5vs;2008-10-06;2C;F
Awk9br372p0Drj8r_AWXqlxBx-DzywZzOCH36mZkomA;2016-10-22;nan;M
K_4OKrHF9AfIMW8Aktha0ti5S2jIhYzJ-KfEzVm1sGw;2006-11-25;Terminale;M
WnWdReOT0ATRFwAZDTjHUjtgqMLuQPG5FFp3dm-tcGQ;2012-08-13;6B;M
TR2zm1Nbrx8P_DOJCMx8d3mi5F_9uINT1tOHUIiyD4I;2009-08-29;3A;F
rCQ6CzAbLrwDryL5-vw_7QXkLT1qK4ujF3zrOsgU3fE;2007-05-06;1B/C;M
UNYysFdyUK3Cc1r55FR97QHwDYaCzHSzfsrJvaCh3Mo;2012-09-02;6B;F
YFveXouAAW4ybJ3DHojjdzi--DbKgFGYyv3TKm7b5Y4;2008-08-13;2A;F
E7_V-gkjlXYUizA14hKYZ2ps6R0jcAb0B7NzyRFxXtM;2012-03-02;6B;F
5mGFk-eJGXpzZ-h-HKaOKSWUFuY1Y5fAINU-B5xaBk0;2012-05-02;6C;F
QoHj7t0BrPEr5cfr_rnnpjKm1k0HTw1JVHiiXB0okfw;2008-10-24;2B;F
2AfnzR7r-O3GWRcsn0qPnFH-Hg4yK8PjDlJCVmv2OsA;2011-05-20;5A;F
osIvI_JEJOD6Y1PCpxNIMKIoyBdrIlJ313piuJQoiXE;2006-04-20;Terminale;M
uhvTKiNaSIfYnwwFjZZiA09hoWwc4xEb2D6oM53irFY;2011-11-07;nan;M
q7wwrdJtY_UGJVhZ6RcX1has4r79DmXNdY09RQtUhzU;2009-08-05;nan;M
CXMt2bx6oybDPXMgXioqlPOLktRr8bEAcwx6qZz71V8;2013-03-26;nan;M
H3biPuhWulbCYPsxaoklCDjVCx2-qxQ3zMGRU99oZcQ;2016-03-12;nan;M
-RQUv84cbrrRzogvrjfxWBNbI5w8GGCSaXV8nZKOWh8;2015-02-15;nan;F
X3lV4el3-eklBI-UukzARcuhEpOFyP5nr9FuTlJtBy8;2016-11-16;nan;M
y3UK9oeFmZ2NF-gvoJCNoTXe_1WJt6NuRV1dNdOt7gg;2015-01-07;nan;M
IcqdYEL3ahX4Stvd0FBqgannscXHWA9UZkYtBf94q8I;2012-03-28;6B;M
DmBovaUqf6iM0qkaJLOSSAWfvS6eeFmmZbQ98ClQHEc;2010-01-03;3B;F
qzTGiMPfFiaaQx4ewtjReT756or3BGd-FRgWqzV_xms;2014-09-29;nan;M
FjIUJIndB5JoRtBnBqEIrAR4w4wg6qhzpZUQzYZtfM4;2017-08-19;nan;F
fNXnS4lHJDS49rp-O1ZBDBQMKLKA19EFqOKBr4_4Q6g;2014-09-01;nan;F
2ktKKn2O3H5jjjVut4ULR_AL703b5DDVtdsgjXQrdCw;2017-11-17;nan;M
eHk6_O1dJvP0B-64CWYsBkXcGAnia8QKzrDkmzAgMZM;2018-06-19;nan;F
RUUGxfydynOS74kOqwrHPtv-D5BNg10NgFG30ajFlE4;2008-12-25;2C;F
02wcrI0nZSYiwRuhkHrF4X_QtV_cZaIUaJZVyvEFF54;2011-10-24;5A;F
PKZ_D7VR_-5apOy4vnfG7CXSyV2hdftzyqA9lFLazTE;2014-04-03;nan;M
f7ivCKQZ7_UW9R1nnW5Xn05qiTtpZmUC7ywgA27iy18;2009-03-25;3A;M
MassXOJhZA5klpkJJfbvRBoMg5b2iznJhNknGZBtoRE;2013-01-05;nan;M
EUU89lud9mdUJIgd4nlnFpI9-H7ZFC9DRq_nGaAveRM;2008-04-30;nan;F
U50p0lNKnEbWyE85rQA22D3fE20Hs4WmI2rW8JnP5TA;2015-10-06;nan;M
1-UEHEtw5UWo2eAhIYTjLfFMmRyOLQ-7TsUm-9_xKSo;2018-09-03;nan;M
bW4s0Ya3-Xp8FyhAK0rvBm8fBkosG1-FZFG4ogisGpA;2014-06-05;nan;F
JYaEiA8WUtdpS2NxoGsk82x1Sj97KaM88b7_--J6Q8E;2013-08-25;nan;M
bAlHwRB6EDjZiRPueOs17faIQojKM6p58P343Kb-ev0;2007-12-12;1B/C;M
xYXcW5K9kFaoGy8baVocvEJRJhk_HujWW_7lgzNl1f4;2010-01-29;4B;M
LlOmyhKkbVI8ZkklpJ98gfOfOJobnZZmOQcSmXUOJW4;2011-11-21;5B;M
ejWSCmxTavaT-VI0NtMbG2192BlhhT3hvUCcQcbu6FQ;2016-09-24;nan;F
Buv-8RvkWbGbB83XJLMRLJfzOXjupnFjeiEC0_0a0Og;2014-09-27;nan;M
8MANx-8Baxvs1dDdbRCTxDFqgnJQ_OU5z2cKYiLIjxo;2013-02-16;nan;M
HtKhQEbXr-ZPdVF5mwbtnYfSsijGx2cxwVOFijr8eTs;2016-07-15;nan;M
qkByPA_bmci6aflXasBBKWxEcSMXxE-22vC2HwTbdZc;2013-02-27;nan;F
-Rp0Clmjjw_4XIgZcUjeR7qAW7zLavv-uDamWmsrzBY;2016-09-13;nan;M
X5U5SoOsPQeBwPTuOPGOZpYR4pGyI2RpjF0hbX3R0Kk;2016-12-15;nan;F
IkrhXAdpivMjx5sGBRCFfYOAZsappgetIooBLX6bUoc;2013-10-15;nan;M
zArDiWDWXUpuI8uS_XwMC3RuLcSEkjupPgc3yK2SfA0;2017-06-19;nan;M
xzienFJHJ_npw8jUqi9s8l6NZlMXfhQAe_BRmIgg5mQ;2012-07-30;6B;M
CVsMkOY6lLQQTtg-bZC24mmrPpQ96c3wTsmgqI5eBtU;2016-08-11;nan;F
HZGD1StWGrE9EuxA5d2HSNiX0_eiS2O08ai-ICPBg4k;2014-12-11;nan;F
U1UmtU4TW0FoLZSh9w6VnKzrfCIE3zPcKwkND8X2NHM;2011-05-28;5C;M
mOPoULew2VUs6C9VsaRnMdDHwvIYgVH2risYJ3NZ_Tw;2015-10-22;nan;F
k1lnTkV2-iZcx296_9_tukkC5UHBpbN__y9PmaA-Awg;2017-10-27;nan;F
LhakXPNYUWOkwk-dU5ggNDKPA2C1IPrIf-ejfHTJezk;2013-12-26;nan;F
BsF57gSEcGBn6ZJO_JgaqlhoipWo41hjAZcc1VpllVQ;2007-06-12;1B/C;M
3hF9OhdIsfS9HdULGIca2HLmt_UGkIwIe76vVDsYS74;2010-09-03;4A;M
M_dfb_cusVE8FUwHIR6wNBQVsTK96E2GDKV6cxHciMI;2007-08-17;1A;F
j2bh2ZNs7WW1MYGF0CActQsPYPopNSPPKALgLgP3KIo;2011-06-29;5A;M
WxBiDIB5jhTmOIlh4MAtNcooFg-uAGI8YE8ceR3thY0;2014-03-11;nan;M
WWbZcG6MgN8SMh5rJ-mNVz1OWHJIMnV3MUqVWcQ57A0;2010-06-16;4B;M
PFIJWUWWxagMA5Xon8DpVN6QplKMTwoddPj6oScJ2l4;2014-01-16;nan;M
y5BzawHlNZq_H7zcguz5D52uWICkndScpadG-g73Aeg;2007-07-02;1B/C;F
AbLdg2uYiQCW4uy4RksxBxvjBEqtH8zhmkS2kEjjxeA;2010-03-02;nan;F
iOnE7VNmou-7GbE5rDcBMm1guIOA34VbJ4z3DtwPyCI;2012-01-14;nan;F
mUyww1TFvE21gEAlCJwaf49eYKknyLcWQXva870dF8E;2011-09-12;5C;M
zXXmQcjcC45dpYKPlwsCtP6NtS3gTwdkmC3pZUtXaJM;2009-06-04;3B;M
C4ludNf__oqEioDrUm86aa2-3NqYjUW4aibwwQMvIlQ;2015-04-27;nan;F
Hr7_V8vOdgVctO--3DHVHggrSBWANOxk8VHIu5QE5Rw;2013-09-07;nan;F
xc5vWJq-dcX3qFditSy2_EzHv9PGXXNl85_vSHlUE2c;2017-07-16;nan;M
jerRbK6VHldp4YESwlhSw-MQikxeJxbeGHehitVtp08;2011-08-02;5C;F
662vBo-rvekXfCCWaKeIwM5z7HOPj_aI54i0gBes-ZU;2006-06-08;Terminale;M
45yIPpAYnSVOhEGNDJqY2z-f86pmGkD9ubWhQJXKlyQ;2009-07-22;3C;F
gr58m9Shrz7Rs7xUnCs1E9xr0ievSzDAbmFC8G3z6Y0;2011-05-25;5A;M
PygpTCbtBVCVCce-d33bRKh1AzQsZkuIkinf_ZoitYE;2012-02-22;6B;M
Tkah5ePZcjAvbCAQTavjOUBEny4XFOA8COzAkKCK224;2006-06-23;Terminale;M
qgiK9DtrYrmlMf1mzcOvEITnhquHLQ8O-KBeM6RwWAA;2011-12-21;nan;F
nH6MXpxtleq-G3YH94jHfhIEEBxg_2CsCs-Mbk8LG2M;2013-01-01;nan;M
W7IcZNsDJtRLuMwYrpo93Dtx8_TIohr2Oz-Hi7PFrEU;2016-07-01;nan;F
oL5SlOR074xMfGq9Idm2nX384s-kOI8f-sDCWaWcse8;2012-11-04;6A;M
86f3d4aE66ApWTb7WGFnrwp8dOvuKlx1yXSz9ihBadc;2016-05-26;nan;M
ygZPegOCdbKYJSFneXO_HixnI0N4Ozv8hdCW0DpjT_A;2010-01-20;nan;M
CXfor_oxj-6dL0rWhRaQMZjxi-NUALh6Xce9WNuh9Ug;2008-11-07;2B;F
1Vf8DkGXXHgI2o3iJaQev9dPRJZ8qQeernc9TB2vIiQ;2009-04-20;3A;F
-qJCG7RbFJqt8-HgOeVK_oxSorEzZGAkURf_4-r58EQ;2009-11-02;3B;M
ggO0yzF_2LnVVanGTcOVJdI3ZJsuvVI1F8lle1g-Ptw;2015-01-04;nan;M
uPFDilel9NGBDgJXsOioKkB0hCiAZyYy79EniaUpeC0;2009-10-30;3B;F
LGsc1eEyH3qvTvADBOgd54vPVtZpjzy8gfgvLacNO8A;2011-08-08;5A;M
DAWMxSJALUXmKOyZ6ooXs-6k1EGFfPskaCZDiQ0Voqg;2015-04-18;nan;M
pGiS3qXFB9Mhr_mPYeLNWeuMM7fEfOFjlb7p1k_dm4w;2015-08-31;nan;F
DesO1lPd74V-SDIkgiJ0hvGzW36KrDEzZCkNbOymS5A;2012-03-29;6C;M
yuy_iBUijVDYgOkEj41JH9VXgGRdLJqdfDiuohn1Zb4;2015-08-31;nan;F
gQhQljxYGtYVlEUF_MBVfeGdt4w-RFwV98XW0A-allw;2011-12-29;6B;M
r7z2Izf_2Thsz9LSU-roKmTvNBjDBGzQU99ihITiBVg;2010-06-04;4A;M
PpaFZkxdHmFAuCZfhF9QE5JQvla-Qp5Xf2J6U-jIwEM;2017-09-15;nan;F
rfiOnVxuqxr2K93Vy7lQVRx4WtglSI10QARLESYFiOE;2017-06-13;nan;F
YswxOZrqTGLTW_jkdfurfq6pwpppKbTzfyWlvQoHqlA;2007-03-10;1B/C;M
LqCInuVFdEcL7HxFZoewLPLhRCCHO92RTJEtp5-PvAI;2015-03-16;nan;M
qW-30fvsoFsuSZaWUHwBeeXT7otn1HWKygwqgplHqtk;2013-08-19;nan;F
q8hiqlwiL_OEK_FCtlQPoipyIZaWGZbycLuWcVt1XYI;2017-09-30;nan;M
rApmFI7MyQKx1w90vmt6Pq-5_IIU9mqCVitJigMlElY;2013-02-17;nan;M
vgktOXKdsURaj77CzFYgHnCcawC52PUHEIUqE7AJiUM;2011-04-06;5C;M
yMQxub6_8rBd1cYXnIrCwNUkEF6ZLbeNR9Hnvs3RSbo;2008-03-22;2B;F
aZmJgFLOjuTs1ybLQUEcSNef5EqKqYX7tsUlTY1B-a8;2016-06-04;nan;F
aMMXJJG9z1GtMqumo-rmkigRTf93h3Xt5MJU64LgkLo;2013-02-07;nan;F
bQKxTkOvzwi9eg5-e3ETjJTkdwwoXbxAZYOda299Z90;2014-12-15;nan;M
ZGL_X60MrAervwy-THH9EgRapA7JYr5N9ALvdOI-tzE;2015-11-27;nan;M
RY2JKk4a7o4zMkBVy21qkQ2ZDy7ruGoPuW2nVt3SWe4;2013-10-15;nan;M
LzLVkICuVZYtN5tiAdf-K3-7QJ8hPe310RMRAD_YCi8;2010-05-08;4C;F
cf1wBazJBvs_LZVow-UaVMHRRC340YHxA3T3l52u-RQ;2015-03-30;nan;F
w8pjt2SPw9qi893AAMIwvVxmzp1SCFdLoqNksSqILLI;2017-09-26;nan;F
QS_maNEFyRxKfwdfxhgqrrVv-O-EH0VbO4EVm_foKu0;2011-07-04;5B;M
mmRLhDWIbnYaCNnN-THikW9tO2ryLAevllOle2_EFrs;2014-09-20;nan;M
OZejXGt0Lip_oGimmaHgNKPfpSzQYqciAKepYEgoDNg;2017-09-29;nan;M
lhiA7kEsn9i4irLTEaSiZC-8hJVUe44Q-OPrzTf9WxM;2007-02-23;nan;M
QaQo-2jQS36esmOc0ShePK-Bdse5u0k9EMsJvGxxrGc;2009-03-06;3C;M
PSuJtahMgmppxKOOXAZYjejINm9WbWKgWiQn_GESpvc;2015-08-23;nan;F
VFtuthiNHFahbCq83rbreu5u7bu70rDkMsBanwf8Nmo;2010-05-11;nan;M
OnQ47RR6yEeqGEU8w0z9haKbbxV2GTwkIDePUEpKMWs;2008-03-12;nan;M
_WwwXyQxXOBXaqwt6yIFtaBN5PScLeAK0slvhva5P3o;2015-07-16;nan;F
3So7cA1eyjvdAkq00uBfzEOQ87jdg-vi_qM45vXWG4I;2018-01-08;nan;M
ANzdTRrfGGF6-Xdj-jfervFGSKU1M3_Hz_uDT7MXk44;2014-07-18;nan;M
tgXg41x_BJOcxjuzoGH-cgjfx9GpPH_47L1I60x86bM;2007-12-01;nan;M
wJeZ50zR6mC3DQtdVVcErZSpueITulkvSQDQcDCxYto;2010-05-17;nan;M
gJkybZXpHckwjc_MvlxBAem6k7fup-29lrHTxmwOaVQ;2009-06-26;3B;F
C9HclZtteu565GzsH_hJmpR9pQ1qgQ1cln7cyVzzgwc;2011-07-14;5B;M
cWkEuUy-gGUpsE3GEmbCRnY3XlIfm2CsP8k7YFzXm6I;2011-08-09;5B;F
UKkXwu10p5re4pyGz6PGboRdUo_z2Jgo-r-bzpz8pGs;2016-03-24;nan;M
nJP-I79LC2OrDtDdc-TDhqt4idrKjXAlguO8iLvY4CU;2012-05-31;6A;M
7ALoUhsPVQh_j4zlyZ23bmnN2HzdZfWU-3A-6rEZ4QU;2013-04-10;nan;M
eTf776G51UGhAmSI1xs6bzErjPYaP2TPODs-p_hym_Y;2015-09-28;nan;M
ZzxJuLTAOl_Aos3KFST6JxHb-PaQe2uQ0Mp7wAupS1o;2011-06-01;nan;F
3YZKkYjrDmP6cMxx7T_-9Ti1-C8apQY0mqK7L8bUhYc;2017-04-07;nan;F
SSwuBAnH5bL01ZiGi9OghMCmi9pl0MDztTOc_M3gzy0;2010-11-05;4B;F
dCJAwmmEVSyTZ-TIRV7p4WmdkPRDLBpZe31YURcCZIY;2015-06-30;nan;F
uRvAJokJDvibj--T-KcBk5G4VYc4SNNSEhIJIqszjBA;2014-03-22;nan;M
4THGUlr60vDsyrKdCbgHmbTIHBlJAX1glmSnW9lIPPU;2016-10-14;nan;M
QlptsWvHrV89ENlIH77y4_8IhSilm_NMXoZT0g1VFcs;2009-05-05;3C;M
H24pUm1RtbiN70NgF8WA1Y6sPkx7Xcxdtw4Sc8Uzgc4;2013-10-15;nan;F
D79IXvXTkjEMMLwbtXLMjuOvac63YICtipdZxy2PdME;2010-09-01;4C;M
uQ9C1cp8Nih3y9VVwy8HrrAiBlbdfKCv9NF8jUvhU7o;2010-01-25;4A;F
3PnUPu5O5ogWjAvVIfWJaqn1usobyWWxQHoe8e1T3GU;2016-07-16;nan;M
QYlu9FZFBu5bG_yl6XwkwGN_Xa2fDohC4itGy3VD1v0;2007-10-21;1B/C;M
l5cFqJg4uChozIa1H4r6G5m_ETJMkdY00sjL5oaHI3w;2011-05-16;5A;F
dOMYuG01-rgdQBiYwnETCgxiHrbXkZkFFHomgthZipQ;2016-05-02;nan;M
3J6GVvpVqlnNxHuk1fPFOxzpLAHYDxJ7lqKfpMKxk_w;2016-05-08;nan;F
kb35N9MCqqJDHEJUN9gVzofBHBIJ4pcwQsQk1BOxXWA;2012-07-28;nan;M
NdH_wbisUFEzGi7t-H7a-erpGgJ1XMl2nxe97bmcdZA;2010-11-18;nan;F
qqYP_fKldeMsz4OrugeKZQtx7Fky-ztbIjydD_07tyI;2015-01-18;nan;F
gqMG6Y0g_kjIChzdV3mQeXPLR0Ekf97k4KV12P5CUNo;2011-07-08;5A;F
_XKTfVXrekSRORNegWtOz6dkUxtx-ifobDa-ejclpVE;2009-09-22;nan;F
S0-kb7B4ICO4ZDp81MDJ459-xXmH6_-aMoJzCOcBl2U;2013-12-02;nan;F
ll2P9zSrDf223f4jCgF__sE4Fw7BpQY_uM1_QuRdbEQ;2017-04-17;nan;M
nACVtCZ4uoNAadg7xYobgaKmBis9X09zgC0wZA0dMUE;2013-12-09;nan;M
k2yTrUGWC9RWH6rOT5RNrmoOZKAt9YLcXfq-aiCoHSs;2009-01-30;4A;M
j9xqOaonfprNbn8ruOLNV2sJuoBeg6A_4TXOqcbf14s;2008-09-13;2C;F
-p2zhyGe62lEYA5QuraUXHDTUtKCUlY3FqzlPhfn9vk;2012-11-05;6C;M
7AmfDkOHx7u1cJb9SxsZESG6d_qjo-qs3AU22FKvbwg;2008-07-18;2B;F
lVv8bL4TcVwcCKlfdiBBvWGc9pHMEpf3txF1Eml5Fwk;2009-11-24;3C;F
xY14XCMzdIpQ0g__Nzqw2CBgXR4jR6EGS3oYWO8U77U;2013-01-17;nan;M
JOXC2YjFp5s_3rK4kf6VkB8HGICy8GPDfuICquaPPZc;2012-12-27;nan;M
Gd6XMP8Yeq2Oil_Val_gbr70L7Cq3qNTXZpgjtdkP_4;2016-12-09;nan;F
jCnEt2FbQGAn8sW28vh_Oy4kJzl5zOJ0FP9r5UQD7xo;2017-04-05;nan;F
PjqRVdvuF0f67-YmjQuVpwhjoKMNEMllfWaR1OpfVlA;2012-11-09;6B;M
Ydsd3x65iza9ZLJ09YFwpGh_kcmNKwhIgUW59tLxD1M;2014-10-10;nan;F
i3pKy--d1QqZD7kh3zc89ttlY3Yg5Mq2f-BVO1S2pE4;2009-07-29;3A;F
qJvIEwrCGOLkHdqoOxHal5Re-2-lGVvHqXsGbBkkyTM;2015-09-18;nan;F
wfa4DioZPLmJ8FGP5HHVznHrP8Fp47TRo1p3MRnCNHo;2013-11-14;nan;M
vFR3Ob2rdigebRKG5d95Hh4o5gW8gyIPPhmlsX6zq60;2015-02-13;nan;M
