classes;periode;appr;eleve_id
2A;;Un très bon trimestre tant du point de vue des résultats que du comportement. Malak a su maintenir un travail sérieux et se démarque par sa persévérance, félicitations. Continuez ainsi;yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34
2A;;Un très bon trimestre, l'ensemble de l'équipe vous félicite pour votre travail et votre investissement qui ont été sans failles tout au long de l'année. L'année de première peut être envisagée très sereinement;yCIAkn6YiEr9R-QONCxcgAf2_yIROwyHfepoHzzaW34
4A;;Trimestre juste. Malgré ses difficultés  Ali semble motivé et investi dans sa scolarité. Il bénéficie d'évaluations adaptées dans certaines disciplines afin de le faire progresser. Nous vous encourageons  à poursuivre vos efforts au prochain trimestre.;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;;Il semble qu'Ali ait réalisé des progrès dans certains matières. Il faut à présent, généraliser les efforts à l'ensemble des disciplines. Nous comptons sur vous au dernier trimestre.;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
4A;;Ali a fait quelques efforts dans certaines matières et a obtenu de bons résultats grâce aux adaptations. Poursuivez vos efforts sans vous décourager.;9aboz2vSFuXu8Y-fCFsCb5kO1x4Vtgj6PAGNqKiVG8A
3B;;Resultats Satisfaisant. Adam est  un élève sérieux, motivé, et investi . Ses résultats reflètent son engagement constant et sa capacité à s'améliorer. Les enseignants saluent vos efforts et vous encouragent  à maintenir cette dynamique positive pour les trimestres à venir. vous en êtes capable.;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;;Bon trimestre avec des progrès notables. L'équipe pédagogique vous félicite pour votre travail sérieux et attitude positive et vous encourage à persévérer pour consolider vos bases. Vous en êtes capables.;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
3B;;Resultats satisfaisants. Adam est sérieux et impliqué. Néanmoins, Il devra continuer à travailler de manière cohérente et  généralisée  pour  réussir son DNB et en 2nd. Il en est capable.;YTJheOHtAHigtQ0-xd84VTg-Uw4cr38Gpl4zxEwoZF8
5C;;Un trimestre convenable. Yousra a fait de bons efforts pour surmonter ses difficultés et plusieurs professeurs ont noté des progrès, dans le travail, le comportement et les résultats. Cependant, le niveau reste encore trop juste dans certaines matières : Yousra va devoir accentuer encore ses efforts de travail personnel au prochain trimestre.;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
5C;;Un trimestre réussi, dans lequel Yousra a poursuivi ses progrès, grâce à des efforts de travail qui ont été remarqués par ses professeurs. Les résultats sont satisfaisants. L' évolution est positive et il conviendra de renouveler les efforts au dernier trimestre, notamment dans les quelques matières où l' on attend un meilleur investissement.;lACVxPUlyoyJlKmJHYGXlF02Gw_rtaJPWFCdlMg0QVQ
1A;;Les résultats sont fragiles dans de nombreuses disciplines, vous faites preuve de sérieux en classe, néanmoins vous devez intensifier vos efforts afin de surmonter vos difficultés;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c
1A;;Les résultats sont fragiles notamment en français et en spécialité. Votre travail personnel n'est pas à la hauteur des exigences, nous attendons de votre part un investissement conséquent et régulier.;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c
1A;;C'est un trimestre encourageant, les résultats sont en hausse dans l'ensemble des disciplines. Les compétences acquises restent cependant fragiles, vous devrez redoubler d'efforts l'an prochain.;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c
5A;;Résultats trop justes et parfois insuffisants dans certaines matières. Vous devez travailler davantage afin de combler vos lacunes.  Aya doit adopter une attitude plus calme et  être attentive lors des cours. Aya doit intensifier ses efforts et approfondir son travail personnel à la maison afin de pouvoir pallier à ses difficultés .Nous comptons sur vous  !;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;;Bon trimestre avec des résultats en progression dans certaines matières, on vous conseille d'accentuer vos efforts dans certaines autres et de vous manifester davantage aux cours tout en évitant la déconcentration ,afin de continuer à progresser et d'obtenir de meilleurs résultats le prochain trimestre!;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
5A;;Résultats convenables. Des difficultés persistent en mathématiques.;qFM3VKtuhvVjtKOZV821-RK_Pc5_ymt5aBeC1EBXuFQ
6A;;Un bilan qui reste convenable dans l'ensemble . Nous t'encourageons, au prochain trimestre à gagner en concentration et à fournir un travail personnel plus régulier. Ces efforts te permettront d'embellir ce bulletin qui est loin de refléter ton potentiel!;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;;Un bilan hétérogène. Nisrine a su faire des progrès dans certaines matières, L'équipe pédagogique vous encourage à poursuivre vos efforts en les généralisant dans toutes les disciplines et vous invite à rester concentrée en classe.;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
6A;;Si le bilan de l’année reste satisfaisant, les résultats sont irréguliers. Nisrine se montre investie et impliquée dans certaines disciplines, elle peut cependant manquer parfois d’attention. Il faudra gagner en maturité et régularité pour réussir pleinement en classe de 5ème. Nous comptons sur elle !;sS0xp35dB4R0oCpR6MKfzqqgvkKWgwXtYKICYYuZmWM
3B;;Bon trimestre. Rayane a montré des progrès louables et une motivation remarquable ce trimestre, se distinguant notamment en matières scientifiques. Néanmoins, nous vous encourageons à redoubler d'efforts dans les matières arabe et espagnole afin de progresser, vous en êtes capable.;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;;Trimestre en baisse des attentes avec des progrès à consolider. L'équipe pédagogique souligne néanmoins votre travail et votre attitude positive, mais vous encourage fermement à generaliser vos efforts pour surmonter vos lacunes. Vous en avez le potentiel, continuez à persévérer et à vous investir.;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
3B;;Bon trimestre. Rayan a montré des progrès dans certaines matières mais il manque de motivation et de rigueur,  ce qui freine sa progression. Il faudra mieux s'organiser, généraliser vos efforts et éviter les bavardages pour réussir au lycée. Nous comptons sur vous.                                                                                                                    Elève ayant participé à un MUN, Mini-MUN DAUDET (Model of United Nations) organisé en interne par le club du lycée.;IE5czaM5eqGcurQ3enbVlHDxYSPxeyxdgs96uGY3kV8
5A;;Très bon trimestre , des résultats satisfaisants voire remarquables dans la plupart des matières. Lina a fait preuve d'une attitude positive en classe  et fourni un travail personnel de qualité. C'est assez prometteur pour la suite de l'année. Félicitations Lina!;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
5A;;Très bon trimestre , des résultats méritoires grâce à un travail sérieux et acharné ,continuez ainsi .Félicitation Lina!;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
5A;;Excellent trimestre. Félicitations. Continuez ainsi l'an prochain.;DA3lFXuYQCYoNE-0rWpXUg5UnTFsd-Tgm-HBtpd-s9k
2B;;Très bon trimestre. Félicitation pour votre attitude sérieuse et votre motivation.;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;;Très bon trimestre. L''investissement en classe n'est cependant pas à la hauteur de tes capacités. Nous comptons sur toi au prochain trimestre.;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
2B;;Très bon trimestre. Attitude très sérieuse et résultats très satisfaisant durant toute l'année. Félicitations. Elève ayant participé à un MUN, Mini-MUN DAUDET (Model of United Nations) organisé en interne par le club du lycée.;TUUcSkuuTGxNEi80ls8WXMH_DJCBsnXvjSvTQle4Yb4
5C;;Un excellent trimestre. Soraya s' est montrée sérieuse et impliquée dans toutes les matières, fournissant un travail de grande qualité et obtenant des résultats remarquables. Félicitations Soraya, ne change rien !;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
5C;;Un excellent trimestre. Soraya s' est de nouveau montrée sérieuse, très investie dans les cours, et régulière dans son travail. Les résultats sont remarquables. Félicitations Soraya, continue ainsi !;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
5C;;Un excellent trimestre qui conclut une année remarquable. Soraya s' est montrée très régulière dans l' attitude ainsi que dans son travail. Les bases sont très solides pour entamer la quatrième. Félicitations Soraya pour tous tes efforts.;1Iajm6QBIbny62jjeJtVQ-AWwdHA-VXyv9bC_B0boVE
6C;;Ensemble très satisfaisant, les compétences comportementales et académiques semblent bien acquises grâce à une attitude positive, l'ensemble de l'équipe pédagogique s'accorderait  pour féliciter le travail avec moins de bavardages et plus de concentration durant la classe.;geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog
6C;;Très bon trimestre, l’ attitude en classe est positive, l'ensemble de l'équipe pédagogique félicite les efforts fournis.;geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog
6C;;Excellent trimestre et bilan annuel très positif grâce à un travail personnel acharné. Admission en cinquième avec toutes nos félicitations.;geP3dvwhju2coxz95QgJAYrnucPl30Vk_ET6eul_Nog
1B/C;;Bon trimestre dans l'ensemble mais vous êtes capable de mieux encore.  Vous devez gagner en régularité et en concentration pour obtenir un excellent bilan, nous comptons sur vous.;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;;De bons résultats dans l'ensemble. Adam fait preuve de sérieux, bien que parfois irrégulier. Il est important de travailler régulièrement pour réussir votre année de première. Nous comptons sur vous.;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
1B/C;;C'est un bon trimestre dans l'ensemble. Certaines disciplines sont très solides et nous vous en félicitons. Votre sérieux devrait vous permettre de progresser encore. Nous comptons sur vous.;Wcv-LGZa8cjaMN8Qs1fgAw91nICobomNCcag577rDCI
6B;;Aya réalise un premier trimestre satisfaisant. L'ensemble des professeurs saluent son investissement et son sérieux en classe. En restant concentrée ainsi, elle devrait combler ses lacunes : nous l'en savons tout à fait capable et nous l'encourageons à poursuivre ses efforts au second trimestre.;vHiKJedL8UWFCxEoClr0ZZmAs_UYz1-IXecIBRQoTFg
6B;;Aya est sérieuse et impliquée dans l'ensemble des matières. L'ensemble des professeurs t'invite à poursuivre dans cette direction pour la dernière ligne droite. Nous l'encourageons à poursuivre dans cette voie.;vHiKJedL8UWFCxEoClr0ZZmAs_UYz1-IXecIBRQoTFg
6B;;Une année satisfaisante, Aya a été appliquée toute l'année et cela lui a été bénéfique. L'ensemble de ses professeurs l'encourage à poursuivre ainsi l'an prochain.;vHiKJedL8UWFCxEoClr0ZZmAs_UYz1-IXecIBRQoTFg
3A;;Des résultats irréguliers ce trimestre. Salma s' est montrée dans l' ensemble sérieuse en classe, agréable, mais elle doit encore s' investir et se concentrer davantage dans certains cours. De plus, l' année de troisième demande des efforts de travail personnel plus réguliers. C' est maintenant qu' il va falloir fournir ces efforts Salma ! Nous comptons sur toi !;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
3A;;Un trimestre irrégulier. Les résultats progressent dans certaines matières, diminuent dans d' autres. Les professeurs notent le sérieux et l' implication de Salma en classe, mais le travail de révisions doit être vraiment approfondi afin de bien réussir les épreuves écrites du DNB. C' est maintenant qu' il faut fournir cet effort Salma !;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
3A;;Un trimestre correct. Salma s' est montrée sérieuse et a fourni des efforts visibles qui lui permettent de progresser. Cependant, le niveau reste juste dans quelques matières : il faudra accentuer nettement le travail personnel l' an prochain afin de réussir au lycée.;OOpRCRxvrwoyfys-Yh0wxX2Tbib8y2cclwOUWTh78Rw
4B;;Récemment arrivé dans la classe , les résultats sont moyens et l'attitude encore irrégulière. Le niveau de fin de quatrième n'est pas atteint. Le conseil de classe propose un maintien en quatrième.;0KKBKLP8YKH8y1iOxusjfq4YYltI9NEo-1By1V3NF9E
4A;;Des résultats moyens pour Mohamed. Nous avons constaté un changement d'attitude face au travail  qui vous a permis de progresser en fin de trimestre. Il faut rester concentré. Nous vous encourageons à poursuivre et à étendre vos efforts  dans toutes les disciplines pour bien progresser au prochain trimestre.;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4A;;Mohamed a fourni quelques efforts en mathématiques et en anglais, mais l'ensemble reste insuffisant. Vos bavardages et votre manque de concentration nuise sérieusement à votre progression. Vous devez impérativement changer votre attitude.;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
4C;;Ensemble irrégulier, vous êtes capable de bien mieux. Pour réussir en classe de 3e, il faudra faire preuve de plus de sérieux, de rigueur et d'assiduité.;tPttCr4FdfOwDWhWFi2ScH154wk2iSBdx6Eqj6z2pRI
1A;;C'est un très bon trimestre, les résultats sont néanmoins en dessous de vos capacités, redoublez d'efforts afin d'atteindre l'excellence!;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk
1A;;"Les résultats sont dans l'ensemble très satisfaisants; Votre sérieux et votre investissement en classe sont soulignés dans de nombreuses disciplines, néanmoins un travail plus approfondi et une présence accrue en classe vous permettront d'atteindre l'excellence.";Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk
1A;;Un bilan trimestriel très contrasté, une baisse des résultats dans plusieurs disciplines due à vos nombreuses absences et un investissement moindre. Vous devrez vous mobiliser l'an prochain, vous avez toutes les capacités nécessaires pour viser l'excellence, nous comptons sur vous.;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk
1A;;Votre sérieux et votre implication en classe sont remarqués dans l'ensemble des disciplines. Nous vous encourageons à poursuivre vos efforts;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;;Les résultats sont fragiles, néanmoins votre volonté de progresser et le sérieux de votre travail sont soulignés dans l'ensemble des disciplines. Nous vous encourageons à persévérer dans cette dynamique.;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
1A;;Le bilan trimestriel est à l'image de cette année, marqué par une grande volonté de réussir et un investissement sans faille. Néanmoins les compétences acquises sont très fragiles dans l'ensemble des disciplines.;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4
2B;;Excellent trimestre. Félicitation pour votre investissement et votre sérieux.;DBfFcnxeAIGO6dvZxYyGsnZkC4qKkVNaaOkHgowGfSk
2B;;Excellent trimestre. Bravo pour ton sérieux et ton investissement. Félicitations.;DBfFcnxeAIGO6dvZxYyGsnZkC4qKkVNaaOkHgowGfSk
2B;;Excellent trimestre à l'image des résultats sur l'année.  Un sérieux et un investissement sans faille. Félicitations. Elève ayant participé à un MUN, Mini-MUN DAUDET (Model of United Nations) organisé en interne par le club du lycée.;DBfFcnxeAIGO6dvZxYyGsnZkC4qKkVNaaOkHgowGfSk
1A;;C'est un très bon trimestre, fruit d'un travail sérieux et régulier, nous vous encourageons à poursuivre et intensifier vos efforts afin d'exceller, vous en avez les capacités.;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4
1A;;Le bilan est satisfaisant, vos efforts ont porté leurs fruits. Le sérieux et la régularité de votre travail vous ont permis de progresser, nous vous encourageons à continuer sur cette voie.;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4
1A;;Le bilan est satisfaisant dans l'ensemble des disciplines, les résultats sont en hausse et sont le fruit d'un travail sérieux et régulier. Nous vous encourageons à poursuivre sur cette voie l'an prochain.;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4
6A;;Un ensemble fragile. Les capacités de Iyad ne sont pas toutes exploitées. Les difficulté rencontrés dans certaines matières peuvent être surmontées avec plus de régularité dans le travail personnel et plus de sérieux et de concentration en classe. Afin de progresser, l'équipe pédagogique compte sur toi pour suivre ces conseils au prochain trimestre.;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;;Trimestre inquiétant. Iyad n'a pas tenu compte des conseils du premier trimestre et son manque de concentration et d'implication pénalisent ses résultats.  Afin de progresser, l'équipe pédagogique t'invite à accentuer le travail personnel et d'adopter une attitude positive face aux apprentissages tout en restant concentré.;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6A;;Trimestre correct, Iyad s’est montré investi et impliqué dans certaines disciplines, il peut cependant manquer parfois d’attention. Il faudra gagner en rigueur et régularité l’année prochaine pour faire face aux nouvelles difficultés du cycle 4 car les bases sont fragiles. Nous comptons sur lui!;qgwfXNdiOgmo6UyG6fT7cI7fJ1wUo69HgjuIZWAqXmU
6C;;Ensemble passable, les compétences comportementales et académiques semblent en cours d'acquisition à cause d' une attitude parfois trop distraite, un travail irrégulier et une implication inégale durant la classe.;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;;Trimestre moyen, l’attitude est irrégulière. On encourage les efforts fournis pour surmonter les difficultés notamment à l’écrit qu'il faudra généraliser. Le troisième trimestre sera décisif.;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6C;;Trimestre faible  et bilan annuel inquiétant. Maintien en sixième proposé.;svgIZkFdvEA614tScOOGaJFyVxTJSfB_1vA_2B4tc5I
6B;;L'entrée en sixième de Rayane est inquiétante : il peut d'une part montrer beaucoup d'enthousiasme et d'autre part, sembler perdu dans sa méthode et ses apprentissages. Plus de concentration et d'investissement en classe devraient l'aider à combler ses lacunes et à progresser dans l'ensemble des matières.;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;;Quelques efforts sont constatés dans certaines matières mais ne sont toujours pas au rendez-vous dans d'autres. Le niveau est globalement encore très en deça des attendus du collège. Nous vous invitons à vous concentrer davantage et à généraliser vos efforts à l'ensemble des matières pour le dernier trimestre.;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
6B;;Une entrée au collège difficile pour Rayane qui n'a pas trouvé son rythme. Quelques élans de bonne volonté, mais peu d'investissement en classe et à la maison. Le passage en cycle 4 risque d'être compliqué sans un réel investissement de sa part.;kpWZEFB3rSR5WcZsr20XHb1xKtRFde52qg2fgUF24yI
4A;;Un bon trimestre pour Yahya. Cependant, vous devez vous concentrer davantage en classe afin d' obtenir de meilleurs résultats. Vos nombreux bavardages sont gênants pour la classe et vous empêche de progresser. Nous vous en attendons mieux au  trimestre prochain.;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;;De beaux progrès ont été constatés ce trimestre. Nous vous encourageons à poursuivre vos efforts et à maintenir votre implication dans votre travail.;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4A;;Yahya a fait beaucoup de progrès et obtenu de bons résultats. Les professeurs vous encouragent à poursuivre vos efforts.;Md0C_U3nCy4cLhtrytEfaVFMe2bwc6jneeDjEGhQeeU
4C;;Très bon premier trimestre, voire excellent dans certaines disciplines. El Ghali a su faire preuve de sérieux et d'investissement tout au long de cette période. Nous vous félicitons. Continuez ainsi.;U_KBw26ilo4hlUmBWlNj4EgLPJByacHZpoGKc2wPMJU
4C;;Très bon bilan. Votre sérieux et votre constance dans le travail sont remarquables et constituent des atouts essentiels pour réussir. Nous vous encourageons vivement à persévérer dans cette voie.;U_KBw26ilo4hlUmBWlNj4EgLPJByacHZpoGKc2wPMJU
4C;;Très bon trimestre pour clôturer une année pleine de sérieux et d'investissement. Avec cette état d'esprit la classe de troisième sera une réussite.;U_KBw26ilo4hlUmBWlNj4EgLPJByacHZpoGKc2wPMJU
3B;;Excellent trimestre. Les enseignants vous félicitent pour votre sérieux, engagement continu et participation active . Néomoins, une attention aux bavardages est recommandée. Nous comptons sur vous.;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
3B;;Excellent trimestre. Felicitations!;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
3B;;Excellent travail. Félicitations pour cette année reussi grâce à votre sérieux et engagement remarquable. Elève ayant participé à un MUN, Mini-MUN DAUDET (Modèle des Nations Unies) organisé en interne par le club du lycée.;suNdCZ3D03WYe0rNab81_oBDhE4Ds2-9AhnwrHuCb3Y
2B;;Excellent trimestre. Félicitation pour votre sérieux et votre investissement.;vW_M2cj2HsKw75JdCYmu1dTpDXoFcfwug4d4zcOUVSw
2B;;Excellent travail. Bravo pour ton sérieux et ton investissement. Félicitations;vW_M2cj2HsKw75JdCYmu1dTpDXoFcfwug4d4zcOUVSw
2B;;"Excellent trimestre. Bravo pour ces résultats d'un très haut niveau durant toute cette année. Félicitations. ""Elève ayant participé à plusieurs MUN (Model of United Nations), organisés en interne, Mini-MUN Daudet et en externe, OSUIMUN. Cette élève a brillé lors de sa participation au deuxième Mini-MUN Daudet, organisé en interne, lui valant une mention honorable pour son engagement, sa perspicacité et ses contributions précieuses.";vW_M2cj2HsKw75JdCYmu1dTpDXoFcfwug4d4zcOUVSw
3A;;Un trimestre inquiétant. Les résultats sont très justes, à cause de certaines lacunes et de difficultés identifiées, mais aussi d' un manque global d' implication en classe et de travail personnel. Même si Lina bénéficie d' adaptations, elle ne peut faire l' économie d' un travail approfondi et régulier toute l' année de son DNB. Nous l' encourageons à redoubler d' efforts à la maison et à se manifester davantage durant le cours.;QEbWXwA71sHvthHjRJ4pjXf7yK1r2oAg2P9EeNnqglI
